new_filename,class_id
00002,4
00011,103
00052,7
00061,31
00062,1
00064,36
00065,68
00075,32
00078,108
00086,50
00090,29
00092,25
00109,0
00110,7
00112,59
00128,2
00139,0
00150,91
00151,108
00155,115
00157,5
00158,21
00159,16
00166,44
00167,115
00202,125
00213,9
00216,50
00228,81
00235,105
00246,39
00251,76
00274,13
00279,16
00280,34
00283,42
00293,59
00296,17
00298,103
00303,108
00316,119
00322,24
00341,11
00346,128
00352,44
00354,82
00359,28
00372,40
00377,13
00381,13
00391,9
00394,16
00426,90
00427,42
00430,2
00439,81
00442,85
00447,107
00450,42
00460,26
00462,15
00478,23
00488,18
00492,82
00503,69
00509,112
00512,107
00518,61
00519,1
00523,62
00524,0
00528,20
00533,70
00537,9
00559,108
00566,53
00567,129
00570,36
00572,88
00579,109
00582,28
00587,57
00613,3
00641,79
00652,48
00744,68
00747,50
00755,28
00778,8
00779,108
00780,20
00797,36
00798,40
00800,45
00807,1
00815,67
00821,13
00825,33
00828,39
00836,29
00844,2
00851,69
00857,73
00859,34
00864,33
00870,65
00889,25
00893,88
00909,2
00912,28
00925,94
00939,74
00943,128
00945,25
00948,26
00949,19
00950,32
00952,36
00962,7
00964,87
00988,4
00992,44
00995,14
01003,40
01007,42
01019,28
01028,29
01031,68
01046,19
01050,73
01057,10
01067,15
01069,118
01081,57
01085,9
01097,68
01118,92
01121,4
01123,106
01127,84
01133,25
01143,75
01151,76
01170,98
01171,4
01175,82
01183,85
01202,73
01208,29
01211,10
01217,87
01219,96
01220,118
01234,18
01235,42
01238,41
01253,64
01254,116
01262,81
01263,63
01279,68
01280,121
01299,42
01304,19
01314,9
01324,41
01330,25
01335,94
01339,6
01350,6
01359,111
01362,21
01368,42
01400,60
01430,93
01437,33
01440,38
01443,17
01446,6
01449,14
01461,24
01470,27
01473,85
01474,1
01501,44
01502,100
01514,57
01515,55
01518,76
01519,104
01535,41
01541,13
01547,25
01562,23
01567,5
01568,0
01583,51
01589,69
01604,1
01606,61
01613,7
01624,1
01625,84
01633,88
01637,81
01649,112
01659,28
01662,57
01680,108
01691,30
01706,101
01715,5
01732,22
01737,69
01742,15
01747,10
01753,57
01760,39
01770,101
01775,2
01783,53
01796,96
01797,118
01801,74
01812,8
01818,49
01830,20
01844,21
01850,121
01855,110
01865,83
01868,103
01880,18
01891,28
01895,85
01902,50
01904,20
01906,125
01909,1
01912,24
01914,18
01931,56
01943,18
01947,78
01951,32
01954,38
01963,24
01964,42
01966,0
01970,47
01972,34
01990,73
01993,25
02005,80
02006,76
02017,33
